breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"American Staffordshire Terrier","Amstaff, Stafford, Staffy","Medium","12-14 years","Male: 17-19 inches (43-48 cm)","Female: 16-18 inches (41-46 cm)","Average $800 - $1000 USD","3 stars","2 stars","3 stars","4 stars","1 stars","1 stars","4 stars","1 stars","3 stars","4 stars","4 stars","1 stars","4 stars","4 stars"
"Staffordshire Bull Terrier","Staffy, Staff, SBT, Stafford, Staffy Bull","Medium","12-14 years","Male: 14-16 inches (36-41 cm)","Female: 13-15 inches (33-38 cm)","Average $1500 - $2000 USD","3 stars","3 stars","1 stars","4 stars","2 stars","1 stars","4 stars","1 stars","3 stars","4 stars","3 stars","1 stars","4 stars","3 stars"
"Bouvier des Flandres","Belgian Cattle Dog, Flanders Cattle Dog, Vlaamse Koehond","Large","10-12 years","Male: 23-28 inches (58-71 cm)","Female: 22-27 inches (56-69 cm)","Average $1500 - $2000 USD","5 stars","3 stars","3 stars","5 stars","3 stars","3 stars","3 stars","5 stars","3 stars","5 stars","3 stars","3 stars","2 stars","4 stars"
"Anatolian Shepherd Dog","Coban Kopegi, Karabash Dog, Kara Bas, Kangal Dog, Kham Kepiji Dogs, Scandinavian Nygaard Dogs","Large","10-13 years","Male: 28-30 inches (71-76 cm)","Female: 26-28 inches (66-71 cm)","Average $700 - $900 USD","2 stars","1 stars","3 stars","4 stars","2 stars","1 stars","3 stars","2 stars","4 stars","2 stars","3 stars","5 stars","1 stars","3 stars"
"Standard Schnauzer","Mittelschnauzer, Schnauzer, Wirehair Pinscher","Medium","12-15 years","Male: 18-20 inches (46-51 cm)","Female: 17-19 inches (43-48 cm)","Average $1200 - $1500 USD","3 stars","3 stars","3 stars","4 stars","4 stars","4 stars","4 stars","5 stars","1 stars","5 stars","5 stars","1 stars","3 stars","5 stars"
"Border Terrier","Russian Bear Schnauzer, Munich Schnauzer, Munchener, Riesenschnauzer","Small","12-15 years","Male: 13-16 inches (33-41 cm)","Female: 11-14 inches (28-36 cm)","Average $1200 - $1400 USD","5 stars","5 stars","4 stars","5 stars","2 stars","2 stars","3 stars","3 stars","2 stars","5 stars","3 stars","1 stars","2 stars","4 stars"
"Nova Scotia Duck Tolling Retriever","Toller, Scotty, Novie, Little River Duck Dog","Medium","12-14 years","17-21 inches (43-53 cm)","","Average $1800 - $2000 USD","5 stars","5 stars","3 stars","5 stars","3 stars","5 stars","4 stars","2 stars","4 stars","2 stars","5 stars","3 stars","2 stars","5 stars"
"Basenji","Congo Dog, Congo Terrier, African Bush Dog, African Barkless Dog, Ango Angari, Zande Dog","Medium","10-12 years","Male: 16-17 inches (41-43 cm)","Female: 15-16 inches (38-41 cm)","Average $1000 - $1200 USD","2 stars","3 stars","1 stars","4 stars","2 stars","2 stars","4 stars","1 stars","3 stars","3 stars","3 stars","1 stars","2 stars","2 stars"
"Flat-Coated Retriever","Flatcoat, Flattie, Flatte","Medium","10-13 years","22-23 inches (56-58 cm)","","Average $1000 - $1200 USD","5 stars","1 stars","3 stars","4 stars","3 stars","4 stars","5 stars","2 stars","5 stars","5 stars","5 stars","3 stars","4 stars","5 stars"
"Jack Russell Terrier","Russell Terrier, JRT, Jack","Small","13-16 years","8-15 inches (20-38 cm)","","Average $700 - $1000 USD","5 stars","1 stars","5 stars","4 stars","2 stars","2 stars","5 stars","2 stars","3 stars","2 stars","4 stars","5 stars","3 stars","5 stars"
"Tibetan Terrier","Tsang Apso, Dokhi Apso","Medium","12-15 years","14-17 inches (36-43 cm)","","Average $1200 - $2000 USD","5 stars","5 stars","2 stars","3 stars","3 stars","3 stars","4 stars","5 stars","3 stars","3 stars","4 stars","1 stars","3 stars","3 stars"
"Keeshond","Dutch Barge Dog, Smiling Dutchman, Chien Loup, German Spitz, Deutscher Wolfsspitz, Wolfsspitz, Kees","Medium","12-14 years","Male: 17-19 inches (44-48 cm)","Female: 16-18 inches (40-46 cm) ","Average $800 - $1000 USD","5 stars","3 stars","5 stars","4 stars","4 stars","4 stars","2 stars","4 stars","3 stars","5 stars","4 stars","5 stars","5 stars","5 stars"
"Pekingese","Peking Lion Dog, Lion Dog, Chinese Spaniel, Pelchie Dog, Peking Palasthund, Peke","Small","13-15 years","6-9 inches (30.4-45 cm)","","Average $600 - $800 USD","5 stars","5 stars","4 stars","1 stars","5 stars","3 stars","1 stars","5 stars","4 stars","3 stars","2 stars","3 stars","3 stars","2 stars"
"Norwegian Elkhound","Elkhound, Norsk Elghund, Gr? Norsk Elghund, Gray Norwegian Elkhound, Small Grey Elk Dog, Norwegian Moose Dog, Harmaa Norjanhirvikoira","Medium","10-12 years","Male: 19-21 inches (48-53 cm)","Female: 18-20 inches (46-51 cm)","Average $500 - $700 USD","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","4 stars","3 stars","4 stars","3 stars","3 stars"
"Leonberger","Leo, Gentle Lion, Gentle Giant","Giant","8-10 years","Male: 29-31 inches (74-80 cm)","Female: 27-29 inches (61-74 cm)","Average $1500 - $2000 USD","3 stars","1 stars","1 stars","5 stars","3 stars","4 stars","4 stars","5 stars","5 stars","2 stars","4 stars","5 stars","3 stars","4 stars"
"Rat Terrier","American Rat Terrier, Ratting Terrier, Decker Giant, RT, Rat, Rattie","Small","15-18 years","Standard: 14-23 inches (35.5-58.5 cm)","","Average $300 - $500 USD","5 stars","5 stars","3 stars","5 stars","4 stars","4 stars","3 stars","1 stars","3 stars","2 stars","3 stars","4 stars","4 stars","5 stars"
"Brussels Griffon","Griffon Belge, Griffon Bruxellois, Belgian Griffon, Petit Braban?on, Griffon, Griff, Bruss","Small","12-15 years","7-8 inches (18-20 cm)","","Average $800 - $1000 USD","4 stars","5 stars","3 stars","1 stars","5 stars","3 stars","2 stars","5 stars","3 stars","2 stars","3 stars","1 stars","3 stars","1 stars"
"Borzoi","Russian Wolfhound, Barzo?, Russkaya Psovaya Borzaya, Psovoi","Large","10-12 years","Male: 28 inches (71 cm)","Female: 26 inches (66 cm)","Average $1000 - $1200 USD","3 stars","3 stars","1 stars","2 stars","1 stars","1 stars","3 stars","4 stars","3 stars","3 stars","3 stars","5 stars","2 stars","2 stars"
"Neapolitan Mastiff","Neo, Italian Bulldog, Italian Mastiff, Mastino Napoletano, Italian Molosso, Can'E Presa","Large","8-10 years","Male: 26-30 inches (65-75 cm)","Female: 24-28 inches (60-70 cm)","Average $1500 - $2000 USD","2 stars","3 stars","2 stars","3 stars","3 stars","1 stars","2 stars","2 stars","5 stars","2 stars","2 stars","3 stars","1 stars","4 stars"
"Silky Terrier","Sydney Silky, Australian Silky Terrier","Small","12-15 years","9-10 inches (23-25 cm)","","Average $600 - $800 USD","3 stars","5 stars","3 stars","4 stars","3 stars","2 stars","3 stars","4 stars","3 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Wire Fox Terrier","Foxie, Wire Hair Fox Terrier, Wirehaired Terrier","Medium","12-14 years","Male: 14-16 inches (36-41 cm)","Female: 13-15 inches (33-38 cm)","Average $800 - $1000 USD","5 stars","3 stars","5 stars","5 stars","1 stars","2 stars","5 stars","3 stars","3 stars","3 stars","5 stars","1 stars","3 stars","4 stars"
"English Setter","Lawerack, Laverack, Llewellin (or Llewellyn) Setter","Large","10-12 years","Male: 24-27 inches (61-69 cm)","Female: 23-26 inches (58-66 cm)","Average $400 - $600 USD","3 stars","1 stars","4 stars","5 stars","4 stars","5 stars","5 stars","3 stars","3 stars","4 stars","4 stars","3 stars","5 stars","4 stars"
"Norwich Terrier","None","Small","12-15 years","10 inches (25 cm)","","Average $1400 - $2000 USD","5 stars","4 stars","4 stars","4 stars","4 stars","5 stars","4 stars","3 stars","2 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Gordon Setter","Gordon Castle Setters","Large","10-12 years","Male: 24-27 inches (61-69 cm)","Female: 23-26 inches (58-66 cm)","Average $800 - $1000 USD","5 stars","1 stars","3 stars","5 stars","3 stars","2 stars","5 stars","4 stars","3 stars","4 stars","5 stars","3 stars","3 stars","4 stars"
"Spinone Italiano","Italian Spinone, Spinone, Italian Griffon, Italian Wire-Haired Pointer, Italian Coarsehaired Pointer","Medium","12-14 years","22?-27? inches","","Average $1500 - $2000 USD","3 stars","3 stars","2 stars","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","2 stars","3 stars","1 stars","5 stars","3 stars"
"American Hairless Terrier","AHT","Small","14-16 years","7-16 inches (18-41 cm)","","Average $300 - $500 USD","3 stars","4 stars","2 stars","4 stars","3 stars","3 stars","2 stars","4 stars","3 stars","3 stars","4 stars","1 stars","3 stars","4 stars"
"Belgian Tervuren","Tervuren, Chien De Berger Belge","Medium","10-12 years","Male: 24-26 inches (61-66 cm)","Female: 22-24 inches (56-61 cm)","Average $1200 - $1500 USD","5 stars","3 stars","5 stars","4 stars","2 stars","3 stars","4 stars","3 stars","3 stars","5 stars","5 stars","5 stars","2 stars","5 stars"
"Japanese Chin","Chin, Japanese Spaniel","Small","10-12 years","7-11 inches (18-28 cm)","","Average $300 - $500 USD","5 stars","5 stars","1 stars","2 stars","5 stars","3 stars","1 stars","3 stars","3 stars","3 stars","3 stars","3 stars","5 stars","2 stars"
"Parson Russell Terrier","Jack Russell Terrier, Parson, Parson Jack Russell Terrier","Medium","13-15 years","12-14 inches (31-36 cm)","","Average $400 - $600 USD","5 stars","3 stars","5 stars","4 stars","1 stars","1 stars","5 stars","2 stars","3 stars","2 stars","5 stars","3 stars","3 stars","3 stars"
"Boykin Spaniel","Boykin, Swamp Poodle, LBD (Little Brown Dog)","Medium","14-16 years","15-18 inches (38-46 cm)","","Average $800 - $1000 USD","5 stars","4 stars","3 stars","4 stars","3 stars","3 stars","5 stars","3 stars","3 stars","2 stars","3 stars","3 stars","3 stars","5 stars"
"Welsh Terrier","Welshie, WT","Small","10-14 years","15 inches (39 cm)","","Average $800 - $1200 USD","5 stars","4 stars","5 stars","4 stars","1 stars","2 stars","4 stars","4 stars","2 stars","3 stars","4 stars","1 stars","3 stars","3 stars"
"Schipperke","Spitzke, Spits, Spitske","Small","13-15 years","10-13 inches (21-33 cm)","","Average $600 - $1000 USD","5 stars","3 stars","1 stars","4 stars","4 stars","3 stars","5 stars","2 stars","3 stars","5 stars","5 stars","3 stars","2 stars","4 stars"
"Afghan Hound","Baluchi Hound, Tazi, Tazhi Spay, Da Kochyano Spay, Sage Balochi, Ogar Afgan, Eastern Greyhound / Persian Greyhound","Large","12-14 years","27-29 inches (69-74 cm)","","Average $2000 - $2500 USD","5 stars","5 stars","1 stars","4 stars","2 stars","3 stars","4 stars","5 stars","3 stars","3 stars","5 stars","3 stars","2 stars","2 stars"
"Lagotto Romagnolo","Romagna Water Dog, Lagotto, Water Dog of Romagna, Lagotti Romagnoli","Medium","14-16 years","Male: 17-19 inches (43-49 cm)","Female: 14-16 inches (36-41 cm)","Average $500 - $700 USD","3 stars","3 stars","4 stars","4 stars","3 stars","3 stars","4 stars","5 stars","3 stars","3 stars","4 stars","2 stars","3 stars","4 stars"
"Irish Terrier","Irish Red Terrier, Daredevil","Medium","12-15 years","18 inches (43 cm)","","Average $600 - $800 USD","5 stars","3 stars","3 stars","4 stars","2 stars","2 stars","4 stars","4 stars","2 stars","4 stars","4 stars","1 stars","2 stars","3 stars"
"Toy Fox Terrier","American Toy Terrier, Amertoy","Small","13-14 years","10 inches (25 cm)","","Average $400 - $600 USD","5 stars","5 stars","2 stars","2 stars","5 stars","3 stars","3 stars","1 stars","3 stars","2 stars","5 stars","3 stars","3 stars","5 stars"
"Pointer","English Pointer","Medium","12-15 years","Male: 22-24 inches (55-62 cm)","Female: 21-24 inches (54-60 cm)","Average $400 - $500 USD","5 stars","1 stars","3 stars","5 stars","1 stars","5 stars","5 stars","1 stars","1 stars","2 stars","5 stars","1 stars","2 stars","4 stars"
"Tibetan Spaniel","Tibbie, Simkhyi","Small","12-15 years","10 inches (25 cm)","","Average $800 - $1000 USD","5 stars","5 stars","2 stars","4 stars","5 stars","5 stars","2 stars","3 stars","2 stars","4 stars","3 stars","1 stars","2 stars","4 stars"
"Black Russian Terrier","Chornyi, Terrier Noir Russem, Schwarzer Russicher Terrier, Tchiorny Terrier, Mustaterrieri, Black Terrier, Russian Bear Schnauzer, BRT, Stalin's Dog","Large","10-14 years","Male: 25-29 inches (64-74 cm)","Female: 25-28 inches (64-72 cm)","Average $1800 - $2500 USD","3 stars","3 stars","3 stars","3 stars","3 stars","3 stars","4 stars","3 stars","2 stars","2 stars","3 stars","1 stars","1 stars","4 stars"
"Miniature Bull Terrier","Bull Terrier (Miniature)","Small","10-12 years","10-14 inches (25-33 cm)","","Average $1200 - $2000 USD","4 stars","3 stars","2 stars","4 stars","1 stars","2 stars","4 stars","1 stars","3 stars","2 stars","5 stars","3 stars","3 stars","2 stars"
"Bluetick Coonhound","None","Large","11-12 years","20-27 inches (51-69 cm)","","Average $500 - $600 USD","5 stars","1 stars","5 stars","4 stars","3 stars","5 stars","5 stars","1 stars","1 stars","2 stars","3 stars","3 stars","3 stars","4 stars"
"American Eskimo Dog (Toy, Miniature, Standard)","Eskimo Spitz, American Spitz, German Spitz, Eskie","Small","12-15 years","Toy: 9-12 inches (22-30 cm)","Miniature: 12-15 inches (30-40 cm)","Average $600 - $800 USD","5 stars","3 stars","5 stars","4 stars","3 stars","4 stars","4 stars","3 stars","3 stars","2 stars","4 stars","5 stars","2 stars","3 stars"
"Welsh Springer Spaniel","Welsh Springer, Welsh Cocker Spaniel, Welsh Starter, Welshie","Medium","12-15 years","Male: 17-19 inches (43-48 cm)","Female: 16-18 inches (41-46 cm)","Average $1200 - $1400 USD","5 stars","2 stars","3 stars","5 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","4 stars","3 stars","2 stars","4 stars"
"Smooth Fox Terrier","Fox Terrier, Foxie, SFT","Small","12-15 years","Male: 14-16 inches (36-41 cm)","Female: 13-15 inches (33-38 cm)","Average $700 - $1000 USD","5 stars","3 stars","3 stars","5 stars","1 stars","2 stars","5 stars","2 stars","3 stars","4 stars","5 stars","3 stars","2 stars","4 stars"
"Saluki","Gazelle Hound, Persian Greyhound","Large","12-14 years","23 - 28 inches (58 - 71cm)","","Average $600 - $800 USD","5 stars","2 stars","2 stars","4 stars","2 stars","3 stars","3 stars","1 stars","3 stars","4 stars","3 stars","1 stars","3 stars","2 stars"
"Bearded Collie","Highland Collie, Mountain Collie, Argle Bargle, Hairy Mou'ed Collie, Beardie","Medium","12-14 years","20-22 inches (51-56 cm)","","Average $1200 - $1400 USD","5 stars","3 stars","4 stars","4 stars","4 stars","4 stars","3 stars","5 stars","3 stars","4 stars","5 stars","4 stars","4 stars","4 stars"
"Kerry Blue Terrier","Kerry, Irish Blue Terrier","Medium","12-15 years","Male: 18?-20 inches (46-51 cm)","Female: 17?-19 inches (44-48 cm)","Average $500 - $600 USD","5 stars","5 stars","4 stars","4 stars","2 stars","2 stars","4 stars","5 stars","3 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Black and Tan Coonhound","American Black And Tan Coonhound","Large","10-12 years","23-27 inches (58-68 cm)","","Average $300 - $400 USD","5 stars","1 stars","5 stars","5 stars","5 stars","5 stars","5 stars","1 stars","3 stars","4 stars","3 stars","5 stars","3 stars","4 stars"
"Belgian Sheepdog","Groenendael, Chien De Berger Belge","Large","12-14 years","Male: 24-26 inches (61-66 cm)","Female: 22-24 inches (56-61 cm)","Average $1200 - $1400 USD","5 stars","2 stars","5 stars","4 stars","5 stars","3 stars","5 stars","3 stars","3 stars","5 stars","5 stars","3 stars","3 stars","4 stars"
"English Toy Spaniel","King Charles Spaniel, Toy Spaniel, Prince Charles Spaniel, Ruby Spaniel, Blenheim Spaniel, Charlies","Small","10-12 years","9-11 inches (23-28 cm)","","Average $1000 - $1800 USD","5 stars","5 stars","4 stars","3 stars","3 stars","4 stars","1 stars","3 stars","2 stars","2 stars","3 stars","3 stars","2 stars","3 stars"
"Boerboel","South African Boerboel, South African Mastiff","Large","10-12 years","Male: 25-28 inches (64-70 cm)","Female: 23-25.5 inches (59-65 cm)","Average $1500 - $2000 USD","3 stars","2 stars","2 stars","4 stars","2 stars","2 stars","4 stars","1 stars","2 stars","2 stars","3 stars","3 stars","2 stars","4 stars"
"Briard","Berger De Brie, Berger Briard","Large","10-12 years","Male: 24-27 inches (62-68 cm)","Female: 22-25 inches (56-64 cm)","Average $1000 - $1200 USD","4 stars","4 stars","3 stars","4 stars","3 stars","3 stars","5 stars","5 stars","3 stars","5 stars","3 stars","3 stars","2 stars","4 stars"
"Manchester Terrier (Toy, Standard)","Black and Tan Manchester, Black and Tan Terrier, English Toy Terrier","Small","14-16 years","Toy: 10-12 inches (25-30 cm)","Standard: 15-16 inches (39-40 cm)","Average $600 - $1000 USD","5 stars","5 stars","3 stars","3 stars","3 stars","3 stars","4 stars","1 stars","2 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Norfolk Terrier","None","Small","12-15 years","10 inches (25 cm)","","Average $2000 - $2500 USD","5 stars","4 stars","4 stars","4 stars","4 stars","4 stars","4 stars","3 stars","3 stars","4 stars","4 stars","1 stars","2 stars","3 stars"
"Tibetan Mastiff","Dok-Khyi, Tsang-khyi","Large","10-14 years","25-28 inches (61-71 cm)","","Average $2500 - $3500 USD","3 stars","2 stars","5 stars","4 stars","3 stars","2 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","1 stars","4 stars"
"Australian Terrier","Aussie","Small","12-15 years","9-11 inches (23-28 cm)","","Average $600 - $800 USD","5 stars","3 stars","3 stars","4 stars","1 stars","1 stars","4 stars","3 stars","4 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Treeing Walker Coonhound","TWC, Walker","Medium","12-13 years","20-27 inches (51-69 cm)","","Average $400 - $600 USD","3 stars","3 stars","4 stars","4 stars","1 stars","3 stars","5 stars","1 stars","1 stars","2 stars","4 stars","3 stars","3 stars","3 stars"
"Bedlington Terrier","Rothbury Terrier, Rodbery Terrier","Medium","14-16 years","Male: 16-17 inches (41-43 cm)","Female: 15-16 inches (38-41 cm)","Average $1800 - $2000 USD","4 stars","4 stars","2 stars","4 stars","3 stars","4 stars","3 stars","5 stars","3 stars","4 stars","3 stars","1 stars","4 stars","4 stars"
"Xoloitzcuintli","Mexican Hairless, Xoloitzcuintli, Xoloitzcuintle, Xoloitzquintle, Xoloescuincle, Xolo, Xolito","Medium","14-20 years","15-20 inches (38-51 cm)","","Average $600 - $800 USD","5 stars","5 stars","1 stars","4 stars","5 stars","5 stars","3 stars","2 stars","1 stars","2 stars","3 stars","1 stars","2 stars","3 stars"
"Beauceron","Berger De Beauce, Bas-Rouge, French Shorthaired Shepherd, Beauce Shepherd","Large","10-12 years","24-27.5 inches (32-70 cm)","","Average $1200 - $1500 USD","3 stars","2 stars","3 stars","4 stars","2 stars","2 stars","4 stars","2 stars","2 stars","3 stars","4 stars","3 stars","2 stars","5 stars"
"Berger Picard","Berger de Picardie, Picardy Shepherd, Picardy Sheepdog","Medium","12-15 years","Male: 24-26 inches (61?66 cm)","Female: 22?24 inches (56?61 cm)","Average $2000 - $2500 USD","4 stars","2 stars","3 stars","5 stars","3 stars","3 stars","5 stars","3 stars","2 stars","3 stars","5 stars","3 stars","2 stars","3 stars"
"Irish Red and White Setter","Irish R&W Setter, IRWS","Large","11-13 years","Male: 24-26 inches (62-66 cm)","Female: 22-24 inches (56-61 cm)","Average $800 - $1000 USD","5 stars","2 stars","3 stars","5 stars","3 stars","5 stars","5 stars","3 stars","3 stars","2 stars","4 stars","3 stars","4 stars","4 stars"
"Redbone Coonhound","Redbone Hound, Reds","Medium","12-14 years","21-27 inches (53-66 cm)","","Average $600 - $800 USD","5 stars","2 stars","5 stars","5 stars","2 stars","5 stars","5 stars","1 stars","1 stars","2 stars","4 stars","1 stars","4 stars","3 stars"
"Clumber Spaniel","Retired Gentleman's Spaniel","Large","10-12 years","16-20 inches (41-51 cm)","","Average $800 - $1200 USD","5 stars","3 stars","1 stars","4 stars","3 stars","5 stars","4 stars","3 stars","3 stars","4 stars","3 stars","5 stars","2 stars","4 stars"
"Lakeland Terrier","None","Small","12-16 years","14? inches (36.8 cm)","","Average $1200 - $1800 USD","3 stars","4 stars","3 stars","4 stars","1 stars","1 stars","4 stars","5 stars","2 stars","3 stars","4 stars","3 stars","4 stars","3 stars"
"German Pinscher","Standard Pinscher, Glatthaariger Pinscher","Medium","12-15 years","16-19 inches (41-48 cm)","","Average $1400 - $1600 USD","3 stars","3 stars","3 stars","4 stars","3 stars","3 stars","4 stars","1 stars","4 stars","2 stars","4 stars","1 stars","3 stars","4 stars"
"Field Spaniel","Field","Medium","11-15 years","18 inches (46 cm)","","Average $800 - $1000 USD","5 stars","2 stars","2 stars","5 stars","3 stars","5 stars","5 stars","2 stars","3 stars","4 stars","5 stars","3 stars","3 stars","5 stars"
"Petit Basset Griffon Vendeen","PBGV","Medium","11-14 years","13-15 inches (34-38 cm)","","Average $1200 - $1600 USD","3 stars","4 stars","4 stars","4 stars","3 stars","5 stars","3 stars","3 stars","4 stars","3 stars","4 stars","3 stars","4 stars","2 stars"
"Affenpinscher","Affen, Affie, African Terrier, Monkey Dog, Monkey Terrier","Small","12-14 years","9-12 inches (23-30 cm)","","Average $800 - $1200 USD","5 stars","5 stars","2 stars","1 stars","3 stars","3 stars","3 stars","5 stars","3 stars","4 stars","4 stars","1 stars","3 stars","4 stars"
"Irish Water Spaniel","Whiptail, Shannon Spaniel, Rat Tail Spaniel, Bog Dog","Medium","10-12 years","20-23 inches (51-58 cm)","","Average $800 - $1000 USD","4 stars","2 stars","1 stars","5 stars","2 stars","2 stars","5 stars","4 stars","4 stars","1 stars","4 stars","1 stars","2 stars","4 stars"
"Greyhound","English Greyhound","Giant","10-13 years","Male: 28-30 inches (71-76 cm)","Female: 27-28 inches (68-71 cm)","Average $500 - $800 USD","5 stars","4 stars","1 stars","5 stars","2 stars","5 stars","2 stars","1 stars","3 stars","4 stars","3 stars","3 stars","5 stars","3 stars"
"Ibizan Hound","Ca Eivissenc, Podenco Ibicenco, Ibizan Warren Hound","Large","12-14 years","22-29 inches (56-74 cm)","","Average $800 - $1200 USD","4 stars","2 stars","3 stars","4 stars","2 stars","3 stars","4 stars","3 stars","3 stars","4 stars","3 stars","3 stars","2 stars","4 stars"
"Icelandic Sheepdog","Icelandic Spitz, Iceland Dog, ?slenskur Fj?rhundur, Islandsk Farehond, Friaar Dog, Canis Islandicus","Medium","12-15 years","12-16 inches (31-41 cm)","","Average $800 - $1000 USD","5 stars","2 stars","5 stars","5 stars","3 stars","3 stars","3 stars","3 stars","2 stars","2 stars","4 stars","3 stars","4 stars","3 stars"
"Scottish Deerhound","Deerhound","Giant","8-10 years","28-32 inches (71-81 cm)","","Average $1000 - $1200 USD","3 stars","4 stars","1 stars","5 stars","2 stars","5 stars","3 stars","2 stars","5 stars","4 stars","3 stars","3 stars","5 stars","4 stars"
"Sealyham Terrier","Welsh Border Terrier, Cowley Terrier","Small","14-16 years","12 inches (30 cm)","","Average $800 - $1000 USD","5 stars","5 stars","3 stars","4 stars","3 stars","4 stars","3 stars","3 stars","2 stars","4 stars","3 stars","1 stars","3 stars","2 stars"
"American Water Spaniel","AWS, American Brown Spaniel, American Brown Water Spaniel","Medium","10-13 years","15-18 inches (36-46 cm)","","Average $800 - $1000 USD","5 stars","5 stars","3 stars","5 stars","3 stars","2 stars","5 stars","3 stars","3 stars","4 stars","5 stars","1 stars","5 stars","4 stars"
"Wirehaired Vizsla","Dr?tsz?r? magyar vizsla, Hungarian Wirehaired Vizsla","Medium","12-14 years","Male: 23-25 inches (57-64 cm) ","Female: 21-23.5 inches (53-60 cm)","Average $800 - $1000 USD","5 stars","2 stars","1 stars","4 stars","3 stars","4 stars","4 stars","2 stars","3 stars","2 stars","4 stars","1 stars","4 stars","5 stars"
"Plott Hound","Plotthund, Plott","Medium","12-14 years","20-25 inches (51-63 cm)","","Average $300 - $500 USD","3 stars","1 stars","3 stars","4 stars","2 stars","3 stars","5 stars","1 stars","1 stars","2 stars","4 stars","1 stars","2 stars","4 stars"
"Puli","Hungarian Puli, Hungarian Water Dog, Pulik","Medium","12-16 years","Male: 16-17? inches (41-46 cm)","Female: 14?-16 inches (36-41 cm)","Average $1000 - $1200 USD","3 stars","4 stars","4 stars","4 stars","3 stars","3 stars","4 stars","5 stars","3 stars","5 stars","4 stars","1 stars","2 stars","3 stars"
"Portuguese Podengo Pequeno","Podengo Portugues, Portuguese Warren Hound","Small","12-14 years","8-12 inches (20-31 cm)","","Average $800 - $1000 USD","3 stars","5 stars","2 stars","4 stars","2 stars","4 stars","3 stars","1 stars","1 stars","2 stars","3 stars","3 stars","3 stars","3 stars"
"Entlebucher Mountain Dog","Entlebucher Sennenhund, Entelbucher Cattle Dog, Entlebucher","Medium","11-15 years","19-20 inches (48-51 cm)","","Average $1000 - $1200 USD","3 stars","2 stars","3 stars","4 stars","3 stars","3 stars","5 stars","1 stars","3 stars","2 stars","3 stars","3 stars","2 stars","3 stars"
"Spanish Water Dog","Perro De Agua Espa?ol, SWD","Medium","10-14 years","Male: 17-20 inches (44-50 cm)","Female: 16-18 inches (40-46 cm)","Average $1000 - $1200 USD","4 stars","3 stars","3 stars","2 stars","2 stars","3 stars","4 stars","3 stars","3 stars","2 stars","4 stars","1 stars","2 stars","4 stars"
"Swedish Vallhund","V?stg?taspets","Medium","12-14 years","12-16 inches (30-40 cm)","","Average $700 - $900 USD","5 stars","3 stars","4 stars","5 stars","5 stars","3 stars","4 stars","3 stars","2 stars","2 stars","3 stars","5 stars","5 stars","4 stars"
"Curly-Coated Retriever","Curly, CCR","Large","8-12 years","25-27 inches (63-69 cm)","","Average $600 - $800 USD","5 stars","3 stars","3 stars","4 stars","3 stars","5 stars","3 stars","2 stars","2 stars","4 stars","3 stars","3 stars","3 stars","4 stars"
"Kuvasz","Hungarian Kuvasz","Giant","10-12 years","Male: 28-30 inches (71-76 cm)","Female: 26-28 inches (66-71 cm)","Average $1200 - $1500 USD","3 stars","1 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","4 stars","4 stars","4 stars","4 stars","2 stars","4 stars"
"Otterhound","None","Large","10-12 years","24-26 inches (60-65 cm)","","Average $500 - $600 USD","3 stars","1 stars","3 stars","4 stars","3 stars","3 stars","5 stars","4 stars","2 stars","4 stars","5 stars","4 stars","2 stars","2 stars"
"Dandie Dinmont Terrier","Dandie, Hindlee Terrier","Small","12-14 years","8-11 inches (20-28 cm)","","Average $1400 - $1600 USD","5 stars","5 stars","2 stars","4 stars","3 stars","4 stars","3 stars","3 stars","2 stars","3 stars","3 stars","1 stars","3 stars","3 stars"
"Pharaoh Hound","Kelb Tal-Fenek (in Country Of Origin), Pharaoh","Medium","12-14 years","Male: 23-25 inches (59-63 cm)","Female: 21-24 inches (53-61 cm)","Average $1800 - $2000 USD","5 stars","3 stars","2 stars","4 stars","2 stars","4 stars","3 stars","1 stars","1 stars","4 stars","3 stars","1 stars","4 stars","3 stars"
"Polish Lowland Sheepdog","Polski Owczarek Nizinny (Polish), Valee Sheepdog, PON, Nizinny, PLS","Medium","10-12 years","16-20 inches (41-51 cm)","","Average $1500 - $2000 USD","3 stars","3 stars","3 stars","4 stars","3 stars","2 stars","3 stars","4 stars","2 stars","2 stars","4 stars","1 stars","2 stars","1 stars"
