breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Shih Tzu","Chinese Lion Dog, Chrysanthemum Dog","Small","10-16 years","8-11 inches (20-28 cm)","","Average $800 - $1200 USD","5 stars","5 stars","5 stars","2 stars","5 stars","5 stars","2 stars","5 stars","3 stars","3 stars","2 stars","1 stars","3 stars","3 stars"
"Boston Terrier","Boston Bull, Boston Bull Terrier, Boxwood, American Gentlemen","Small","12-15 years","15-17 inches (38-43 cm)","","Average $600 - $800 USD","5 stars","5 stars","2 stars","5 stars","5 stars","5 stars","3 stars","1 stars","3 stars","4 stars","3 stars","3 stars","4 stars","3 stars"
"Pomeranian","Pom, Pom Pom, Deutsche Spitze, Zwergspitz, Spitz Nain, Spitz Enano, Zwers","Small","12-16 years","7-12 inches (18-30 cm)","","Average $600 - $800 USD","5 stars","5 stars","4 stars","2 stars","5 stars","3 stars","2 stars","3 stars","3 stars","5 stars","4 stars","3 stars","3 stars","3 stars"
"Havanese","Bichon Habanero, Havanese Cuban Bichon, Bichon Havanais, Bichon Havan?s, Havaneser, Havanezer","Small","14-16 years","8-11 inches (20-28 cm)","","Average $900 - $1200 USD","5 stars","5 stars","2 stars","5 stars","5 stars","5 stars","1 stars","3 stars","3 stars","2 stars","4 stars","1 stars","4 stars","5 stars"
"Shetland Sheepdog","Miniature Collie, Shetland Collie (obsolete), Dwarf Scotch Shepherd (obsolete), Toonie Dog (obsolete), Sheltie","Small","12-14 years","13-16 inches (33-41 cm)","","Average $800 - $1000 USD","5 stars","2 stars","5 stars","4 stars","5 stars","4 stars","3 stars","5 stars","3 stars","5 stars","3 stars","3 stars","2 stars","3 stars"
"Brittany","Epagneul Breton, Brittany Spaniel, American Brittany, Brittany Wiegref","Medium","12-15 years","Male: 17-21 inches (43-53 cm)","Female: 18-20 inches (46-51 cm)","Average $700 - $800 USD","5 stars","3 stars","3 stars","5 stars","3 stars","5 stars","5 stars","2 stars","3 stars","1 stars","5 stars","2 stars","3 stars","5 stars"
"English Springer Spaniel","Springer Spaniel","Medium","10-14 years","Male: 19-21 inches (48-56 cm)","Female:18-20 inches (46-51 cm)","Average $700 - $800 USD","5 stars","5 stars","3 stars","4 stars","3 stars","5 stars","5 stars","4 stars","4 stars","5 stars","5 stars","3 stars","5 stars","5 stars"
"Bernese Mountain Dog","Berner Sennenhund, Bernese Cattle Dog, Berner","Large","7-10 years","Male: 24-28 inches (61?71 cm)","Female: 23-27 inches (58?69 cm)","Average $800 - $1000 USD","3 stars","3 stars","3 stars","4 stars","3 stars","3 stars","3 stars","3 stars","5 stars","5 stars","3 stars","4 stars","3 stars","5 stars"
"Mastiff","English Mastiff, Old English Mastiff","Giant","10-12 years","Male: 30 inches (76 cm)","Female: 27.5 inches (70 cm)","Average $1200 - $1500 USD","5 stars","3 stars","1 stars","5 stars","5 stars","3 stars","2 stars","2 stars","4 stars","3 stars","2 stars","3 stars","3 stars","3 stars"
"American Cocker Spaniel","Cocker Spaniel, Cocker, Merry Cocker","Medium","12-15 years","15-16.5 inches (38-41 cm)","","Average $600 - $800 USD","5 stars","5 stars","4 stars","5 stars","3 stars","4 stars","4 stars","5 stars","4 stars","5 stars","4 stars","3 stars","5 stars","5 stars"
"Chihuahua","None","Small","14-18 years","6-9 inches (15-23 cm)","","Average $600 - $800 USD","5 stars","5 stars","5 stars","1 stars","5 stars","3 stars","1 stars","1 stars","4 stars","3 stars","3 stars","1 stars","3 stars","3 stars"
"Vizsla","Hungarian Vizsla, Magyar Vizsla, Hungarian Pointer, Drotszoru Magyar Vizsla","Medium","10-14 years","Male: 22-26 inches (56-66 cm)","Female: 20-24 inches (51-61 cm)","Average $800 - $1200 USD","5 stars","2 stars","3 stars","4 stars","3 stars","3 stars","5 stars","1 stars","3 stars","5 stars","5 stars","3 stars","3 stars","3 stars"
"Pug","Chinese Pug, Dutch Bulldog, Dutch Mastiff, Mini Mastiff, Mops, Carlin","Small","12-15 years","Male: 12-14 inches (30-36 cm)","Female: 10-12 inches (25-30 cm)","Average $300 - $500 USD","5 stars","5 stars","3 stars","4 stars","5 stars","5 stars","2 stars","1 stars","5 stars","4 stars","3 stars","4 stars","5 stars","3 stars"
"Maltese","Maltese Dog, Maltese lion dog","Small","15-18 years","Male: 8-10 inches (21-25 cm)","Female: 8-9 inches (20-23 cm)","Average $600 - $800 USD","5 stars","5 stars","5 stars","4 stars","5 stars","5 stars","1 stars","3 stars","3 stars","4 stars","3 stars","1 stars","5 stars","2 stars"
"Weimaraner","Weimaraner Vorstehhund, Weim, Grey Ghost","Medium","10-12 years","Male: 24-24 inches (61-69 cm)","Female: 22-25 inches (56-63 cm)","Average $600 - $800 USD","5 stars","3 stars","4 stars","2 stars","4 stars","4 stars","5 stars","1 stars","1 stars","5 stars","4 stars","3 stars","4 stars","5 stars"
"Newfoundland","Newf, Newfie, The Gentle Giant, Blackbear","Large","9-12 years","Male: 27-29 inches (69-74 cm)","Female: 25-27 inches (63-69 cm)","Average $1500 - $2000 USD","4 stars","3 stars","2 stars","5 stars","5 stars","4 stars","3 stars","5 stars","5 stars","4 stars","3 stars","5 stars","4 stars","3 stars"
"Miniature American Shepherd","North American Shepherd, Mini American, MAS, Ameri","Small","13-15 years","Male: 14?18 inches (36?46 cm)","Female: 13?17 inches (33?43 cm)","Average $900 - $1000 USD","4 stars","3 stars","2 stars","4 stars","3 stars","3 stars","3 stars","2 stars","2 stars","3 stars","3 stars","3 stars","2 stars","5 stars"
"Collie","Rough Collie, Scottish Collie, Long-Haired Collie, English Collie, Lassie Dog","Large","14-16 years","Male: 24-26 inches (61-66 cm)","Female: 22-24 inches (56-61 cm)","Average $400 - $600 USD","4 stars","2 stars","3 stars","5 stars","5 stars","5 stars","5 stars","5 stars","4 stars","5 stars","3 stars","5 stars","3 stars","5 stars"
"Border Collie","Scotch Sheep Dog, Sheepdog","Medium","12-15 years","Male: 19-22 inches (48-56 cm)","Female: 18-21 inches (46-53 cm)","Average $600 - $800 USD","5 stars","2 stars","5 stars","5 stars","3 stars","3 stars","5 stars","3 stars","3 stars","5 stars","5 stars","3 stars","3 stars","5 stars"
"Basset Hound","Basset, Hush Puppy","Medium","10-12 years","Male: 12-15 inches (30-38 cm)","Female: 11-14 inches (28-36 cm)","Average $300 - $500 USD","5 stars","3 stars","3 stars","5 stars","5 stars","5 stars","3 stars","2 stars","3 stars","3 stars","3 stars","3 stars","5 stars","3 stars"
"Cane Corso","Cane Corz, Italian Mastiff, Cane Di Macellaio","Large","10-11 years","Male: 24-27 inches (64-68 cm)","Female: 23-25 inches (60-64 cm)","Average $1500 - $2000 USD","2 stars","2 stars","1 stars","3 stars","1 stars","3 stars","3 stars","1 stars","4 stars","2 stars","3 stars","3 stars","1 stars","3 stars"
"West Highland White Terrier","Poltalloch Terrier, Roseneath Terrier, White Roseneath Terrier, Westie (or Westy)","Small","12-16 years","Male: 10-12 inches (25-30 cm)","Female: 9-11 inches (23-28 cm)","Average $900 - $1200 USD","4 stars","3 stars","5 stars","4 stars","3 stars","4 stars","4 stars","4 stars","5 stars","4 stars","5 stars","1 stars","4 stars","3 stars"
"Rhodesian Ridgeback","African Lion Dog, African Lion Hound","Large","10-12 years","Male: 25-27 inches (63-69 cm)","Female: 24-26 inches (61-66 cm)","Average $900 - $1200 USD","4 stars","3 stars","2 stars","5 stars","2 stars","2 stars","4 stars","1 stars","3 stars","4 stars","4 stars","1 stars","2 stars","3 stars"
